date,weekday,inner_speed1,inner_speed2,inner_speed3,inner_speed4,inner_speed5,inner_speed6,inner_speed7,inner_speed8,outer_speed,inner_speed1_predicting,inner_speed2_predicting,inner_speed3_predicting,inner_speed4_predicting,inner_speed5_predicting,inner_speed6_predicting,inner_speed7_predicting,inner_speed8_predicting,
23.06.2023,5,,,,,,,,,,,,,,,,,,
24.06.2023,6,,,,,,,,,,,,,,,,,,
25.06.2023,7,,,,,,,,,,,,,,,,,,
26.06.2023,1,,,,,,,,,,,,,,,,,,
27.06.2023,2,,,,,,,,,,,,,,,,,,
28.06.2023,3,,,,,,,,,,,,,,,,,,
29.06.2023,4,,,,,,,,,,,,,,,,,,
30.06.2023,5,,,,,,,,,,,,,,,,,,
01.07.2023,6,,,,,,,,,,,,,,,,,,
02.07.2023,7,,,,,,,,,,,,,,,,,,
03.07.2023,1,,,,,,,,,,,,,,,,,,
04.07.2023,2,,,,,,,,,,,,,,,,,,
05.07.2023,3,,,,,,,,,,,,,,,,,,
06.07.2023,4,,,,,,,,,,,,,,,,,,
07.07.2023,5,,,,,,,,,,,,,,,,,,
08.07.2023,6,,,,,,,,,,,,,,,,,,
09.07.2023,7,,,,,,,,,,,,,,,,,,
10.07.2023,1,,,,,,,,,,,,,,,,,,
11.07.2023,2,,,,,,,,,,,,,,,,,,
12.07.2023,3,,,,,,,,,,,,,,,,,,
13.07.2023,4,,,,,,,,,,,,,,,,,,
14.07.2023,5,,,,,,,,,,,,,,,,,,
15.07.2023,6,,,,,,,,,,,,,,,,,,
16.07.2023,7,,,,,,,,,,,,,,,,,,
17.07.2023,1,,,,,,,,,,,,,,,,,,
18.07.2023,2,,,,,,,,,,,,,,,,,,
19.07.2023,3,,,,,,,,,,,,,,,,,,
20.07.2023,4,,,,,,,,,,,,,,,,,,
21.07.2023,5,,,,,,,,,,,,,,,,,,
22.07.2023,6,,,,,,,,,,,,,,,,,,
23.07.2023,7,,,,,,,,,,,,,,,,,,
24.07.2023,1,,,,,,,,,,,,,,,,,,
25.07.2023,2,,,,,,,,,,,,,,,,,,
26.07.2023,3,,,,,,,,,,,,,,,,,,
27.07.2023,4,,,,,,,,,,,,,,,,,,
28.07.2023,5,,,,,,,,,,,,,,,,,,
29.07.2023,6,,,,,,,,,,,,,,,,,,
30.07.2023,7,,,,,,,,,,,,,,,,,,
31.07.2023,1,,,,,,,,,,,,,,,,,,
01.08.2023,2,,,,,,,,,,,,,,,,,,
02.08.2023,3,,,,,,,,,,,,,,,,,,
03.08.2023,4,,,,,,,,,,,,,,,,,,
04.08.2023,5,,,,,,,,,,,,,,,,,,
