date,1_emoped,2_emoped,4_emoped,5_emoped,8_emoped,15_emoped,87_emoped,88_emoped,89_emoped,90_emoped,92_emoped
22.07.2023,0,0,0,0.004918,0,0.001639,0.001639,0.001639,0,0,0
23.07.2023,0,0.001736,0,0.001736,0.001736,0,0.001736,0,0.001736,0,0
24.07.2023,0,0,0,0,0.001658,0.001658,0.004975,0.001658,0.001658,0,0
25.07.2023,0,0.001608,0,0.001608,0,0.003215,0.003215,0.001608,0.004823,0,0
26.07.2023,0,0,0,0.004702,0,0,0,0.001567,0.001567,0,0
27.07.2023,0,0.001582,0,0,0,0,0,0,0,0,0
28.07.2023,0,0,0.001675,0.00335,0.001675,0,0.001675,0,0,0,0
29.07.2023,0,0.001701,0,0.001701,0,0.001701,0.001701,0.001701,0.001701,0,0
30.07.2023,0,0,0,0.001709,0,0,0,0,0,0,0
31.07.2023,0,0,0.001645,0,0.001645,0,0,0,0,0,0
01.08.2023,0,0.001684,0,0.006734,0.001684,0,0,0,0,0,0
02.08.2023,0,0.001653,0,0.001653,0,0,0,0,0,0,0.001653
03.08.2023,0,0,0,0.001653,0,0,0,0,0.001653,0,0
04.08.2023,0,0.001341992,0.000906343,0.001473557,0.000874012,0.000675511,0.000944993,0.00073832,0.001273568,0,0
05.08.2023,0,0.001664,0,0.003328,0,0,0,0,0,0,0
06.08.2023,0,0.001667,0,0.003333,0,0,0.001667,0,0,0,0
07.08.2023,0,0.004878,0,0.003252,0,0,0.001626,0,0,0,0
08.08.2023,0,0.001605,0,0,0,0.001605,0.001605,0.00321,0.001605,0,0
09.08.2023,0.001689,0.001689,0,0,0,0,0,0,0,0,0
10.08.2023,0,0,0,0,0,0,0.001698,0,0.001698,0,0
11.08.2023,0,0.001681,0.001681,0,0,0.001681,0,0.001681,0,0,0
12.08.2023,0,0,0,0,0,0.001706,0,0.001706,0,0,0
13.08.2023,0,0,0,0.001724,0,0,0,0,0,0,0
14.08.2023,0,0.001667,0.001667,0.001667,0,0,0,0,0,0,0
15.08.2023,0,0,0,0,0,0,0.001739,0,0.001739,0,0
16.08.2023,0,0.001767,0,0,0.001767,0.001767,0.001767,0.001767,0.003534,0,0
17.08.2023,0,0.001715,0,0.005146,0,0,0.001715,0,0.001715,0,0
18.08.2023,0,0,0,0.005245,0,0.001748,0.001748,0.001748,0.001748,0,0
19.08.2023,0,0.001757,0,0.003515,0,0.001757,0,0.001757,0,0,0
20.08.2023,0,0,0.001715,0.003431,0,0,0.003431,0,0.003431,0,0
21.08.2023,0,0.003279,0,0,0,0,0,0,0,0,0
22.08.2023,0.000170792,0.001631814,0.000170792,0.002617199,0.000540875,0.001085579,0.001222143,0.001206561,0.001369487,0.00015499,0.00019267
23.08.2023,0,0,0,0.005137,0,0,0,0,0,0,0
24.08.2023,0,0.001050289,0.000814905,0.00158558,0,0.000287571,0.000667737,0.000121071,0.000530876,0.00072643,0
25.08.2023,0,0,0,0,0.001745,0,0.001745,0,0.001745,0,0
26.08.2023,0,0.00335,0,0.00335,0,0.00335,0.001675,0,0.001675,0,0
27.08.2023,0,0.001684,0,0,0,0,0,0,0,0,0
28.08.2023,0,0.003289,0,0,0,0,0,0,0.001645,0,0
29.08.2023,0.000170792,0.001631814,0.000170792,0.002617199,0.000540875,0.001085579,0.001222143,0.001206561,0.001369487,0.00015499,0.00019267
30.08.2023,0.000317199,0.001565067,0,0.001963793,0.000435787,0.000630617,0.000713643,0.000472287,0.00087957,0.000152181,0.00031221
31.08.2023,0,0.006689,0,0,0,0,0.001672,0,0,0.001672,0
01.09.2023,0,0.006745,0,0,0,0,0,0,0,0,0
02.09.2023,0,0,0,0,0,0,0.001686,0,0,0,0
03.09.2023,0,0,0,0,0,0,0.005245,0,0.003497,0,0
04.09.2023,0,0.001751,0,0,0,0,0.003503,0,0.003503,0,0
05.09.2023,0,0,0,0.001686,0.003373,0.001686,0,0.001686,0,0,0
06.09.2023,0,0,0,0.001658,0,0,0.003317,0,0.001658,0,0
07.09.2023,0,0,0.001724,0,0,0,0.001724,0,0,0,0
08.09.2023,0,0,0,0,0.003571,0,0,0,0,0,0
09.09.2023,0,0.001855,0,0.007421,0,0,0,0,0,0,0
10.09.2023,0.001821,0,0,0.003643,0.001821,0,0.001821,0.001821,0,0,0
11.09.2023,0,0.001869,0,0,0,0,0.001869,0,0.003738,0,0
12.09.2023,0,0,0,0.001852,0,0,0.001852,0,0.003704,0,0
13.09.2023,0,0.007156,0,0.001789,0,0.003578,0.001789,0.001789,0.001789,0.001789,0.001789
14.09.2023,0,0.00339,0,0.00339,0,0.001695,0.001695,0.001695,0.001695,0,0
15.09.2023,0,0.003407,0,0.001704,0,0.003407,0.001704,0.001704,0.001704,0,0
16.09.2023,0,0,0,0.001721,0,0.001721,0.005164,0.001721,0.001721,0,0
17.09.2023,0.001818,0.012727,0,0.001818,0,0,0,0,0,0,0
18.09.2023,0.001795,0.003591,0,0.001795,0,0,0,0.003591,0.003591,0,0
19.09.2023,0.001712,0.006849,0.001712,0.008562,0.001712,0.001712,0,0.001712,0.001712,0,0
20.09.2023,0.001808,0.007233,0,0.001808,0,0.001808,0.001808,0.001808,0,0,0
