date,weekday,Speed inner1,Speed inner2,Speed inner3,Speed inner4,Speed inner5,Speed inner6,Speed inner7,Speed inner8,Speed outer,inner_speed
15.07.2023,6,0.892959062,0.908970273,0.877374097,0.838799324,0.904492682,0.884387236,0.875140442,0.820412416,0.872530328,0.875316942
16.07.2023,7,0.730783333,0.678120833,0.71095,0.730783333,0.735933333,0.691666667,0.691666667,0.576254167,0.673372449,0.693269792
17.07.2023,1,0.895283333,0.869604167,0.806895833,0.904358333,0.845670833,0.8306625,0.8306625,0.665391667,0.820525255,0.831066146
18.07.2023,2,0.670805682,0.598220455,0.569863258,0.670690909,0.600374621,0.641879924,0.641879924,0.452606439,0.584192045,0.605790152
19.07.2023,3,0.6675625,0.5942,0.6323125,0.66425,0.64328125,0.67163125,0.67163125,0.501225,0.652254762,0.630761719
20.07.2023,4,0.797577062,0.777929201,0.827134959,0.78995708,0.775791129,0.826692819,0.811101234,0.726265538,0.777188676,0.791556128
21.07.2023,5,0.548305,0.568235,0.46184,0.548305,0.54462,0.52167,0.52167,0.38825,0.510347347,0.512861875
22.07.2023,6,0.68637,0.676035,0.6527,0.6770275,0.667979167,0.656878333,0.656878333,0.513833333,0.684681139,0.648462708
23.07.2023,7,0.958425455,0.932232727,0.985795455,0.958425455,0.992,0.972096364,0.972096364,0.892948182,0.940778302,0.9580025
24.07.2023,1,0.940854167,0.891070833,0.8642375,0.939870833,0.897208333,0.90675,0.90675,0.775154167,0.864136055,0.890236979
25.07.2023,2,0.8453375,0.795558333,0.821141667,0.844820833,0.843708333,0.86635,0.86635,0.6837625,0.801466922,0.820878646
26.07.2023,3,0.579870833,0.570748333,0.566083333,0.586020833,0.643359167,0.582324167,0.578484167,0.418175,0.631887976,0.565633229
27.07.2023,4,0.91095,0.8509,0.851391667,0.899904167,0.868408333,0.885041667,0.885041667,0.7361,0.841192942,0.860967188
28.07.2023,5,0.877020833,0.869954167,0.846104167,0.874141667,0.918958333,0.889304167,0.889304167,0.767866667,0.85842466,0.866581771
29.07.2023,6,0.922820833,0.934225,0.9296875,0.9150875,0.955279167,0.914758333,0.914758333,0.847058333,0.903226616,0.916709375
30.07.2023,7,0.984375,0.978875,1,0.984375,0.981666667,0.94625,0.94625,0.879566667,0.931105017,0.962669792
31.07.2023,1,0.6947875,0.7136,0.7046375,0.6894,0.65615625,0.6525,0.6525,0.58713125,0.660392049,0.668839063
01.08.2023,2,0.951629167,0.899829167,0.8243,0.943395833,0.9487125,0.900104167,0.900104167,0.823291667,0.890032653,0.898920834
02.08.2023,3,0.925981818,0.915690909,0.800486364,0.890831818,0.870845455,0.837786364,0.837786364,0.677531818,0.843232854,0.844617614
03.08.2023,4,0.797577062,0.777929201,0.827134959,0.78995708,0.775791129,0.826692819,0.811101234,0.726265538,0.777188676,0.791556128
04.08.2023,5,0.804605331,0.802703165,0.797129017,0.765259214,0.805539903,0.791452261,0.78277137,0.71561165,0.782756051,0.783133989
05.08.2023,6,0.657558333,0.715395833,0.72265,0.657558333,0.684791667,0.551845833,0.551845833,0.50645,0.637333078,0.631011979
06.08.2023,7,0.960229167,0.974754167,0.990883333,0.956795833,0.993591667,0.956666667,0.956666667,0.8613,0.952640816,0.956360938
07.08.2023,1,0.985875,0.916116667,0.9264375,0.9820875,0.934375,0.931879167,0.931879167,0.830445833,0.916747534,0.929886979
08.08.2023,2,0.967722727,0.898429546,0.883615909,0.968109091,0.940201136,0.915575758,0.915575758,0.811282576,0.908880636,0.912564063
09.08.2023,3,0.9482375,0.877066667,0.912216667,0.939925,0.957266667,0.900415278,0.900415278,0.810890278,0.89548835,0.905804167
10.08.2023,4,0.940175,0.897554167,0.888191667,0.940175,0.935158333,0.924116667,0.924116667,0.8523125,0.895906208,0.912725
11.08.2023,5,0.944375,0.883808333,0.924375,0.9431125,0.930604167,0.91335,0.91335,0.8385625,0.904392602,0.911442188
12.08.2023,6,0.9581,0.985508333,0.943616667,0.968029167,0.9760625,0.9695125,0.9695125,0.894441667,0.944779082,0.958097917
13.08.2023,7,0.981521591,1,0.989245833,0.981521591,1,0.996213636,0.996213636,0.921723864,0.968787214,0.983305019
14.08.2023,1,0.948341667,0.969922222,0.909705556,0.948341667,0.95855,0.956111111,0.956111111,0.883198611,0.930092602,0.941285243
15.08.2023,2,1,0.966945833,0.990591667,1,0.995191667,0.991320833,0.991320833,0.900575,0.960947109,0.979493229
16.08.2023,3,0.978281818,0.914427273,0.929162273,0.978281818,0.935704546,0.958809091,0.958809091,0.857133182,0.919799754,0.938826137
17.08.2023,4,0.965316667,0.939808333,0.908341667,0.964370833,0.94625,0.9276375,0.9276375,0.845875,0.916277296,0.928154688
18.08.2023,5,0.946329167,0.941116667,0.898954167,0.946329167,0.974358333,0.966370833,0.966370833,0.870395833,0.929591582,0.938778125
19.08.2023,6,0.961929167,0.989583333,0.9690875,0.970570833,0.990383333,0.981666667,0.981666667,0.9173375,0.950581633,0.970278125
20.08.2023,7,0.9724775,0.9825625,1,0.9737075,1,0.993333333,0.993333333,0.958221667,0.965450918,0.984204479
21.08.2023,1,0.869266601,0.842359881,0.840858315,0.825392707,0.854261985,0.844209765,0.837058582,0.781056228,0.830134427,0.836808008
22.08.2023,2,0.886233372,0.844109711,0.841590524,0.82197507,0.837765919,0.874948972,0.870886792,0.773497799,0.833493051,0.84387602
23.08.2023,3,0.65815,0.7358875,0.575310417,0.65815,0.635877083,0.666189583,0.666189583,0.644052083,0.663535884,0.654975781
24.08.2023,4,0.69908125,0.683572917,0.63853375,0.70939375,0.7179125,0.68002875,0.68002875,0.631325,0.672093878,0.679984583
25.08.2023,5,0.710966667,0.6915,0.612326389,0.722694444,0.694554167,0.683333333,0.683333333,0.573425,0.661754478,0.671516667
26.08.2023,6,0.9618875,0.981475,0.9341125,0.9618875,0.982370833,0.980904167,0.980904167,0.9461375,0.949682993,0.966209896
27.08.2023,7,0.982166667,0.980466667,0.9919375,0.9886375,1,1,1,0.9096125,0.965121003,0.981602604
28.08.2023,1,0.869266601,0.842359881,0.840858315,0.825392707,0.854261985,0.844209765,0.837058582,0.781056228,0.830134427,0.836808008
29.08.2023,2,0.886233372,0.844109711,0.841590524,0.82197507,0.837765919,0.874948972,0.870886792,0.773497799,0.833493051,0.84387602
30.08.2023,3,0.831811364,0.819996918,0.798324786,0.781714376,0.802483622,0.797940147,0.79148429,0.73918915,0.799463835,0.795368082
