date,education-inner,education-outer,consumption-inner,consumption-outer,transportation-inner,transportation-outer,cultural-inner,cultural-outer,bicycle-inner,bicycle-outer,removedparking,Mobility hubs added,percentageclosedstreet
05.09.2023,3,61,20,436,15,193,0,6,11,256,129,3,0.11
06.09.2023,3,61,20,436,15,193,0,6,11,256,129,3,0.11
07.09.2023,3,61,20,436,15,193,0,6,11,256,129,3,0.11
08.09.2023,3,61,20,436,15,193,0,6,11,256,129,3,0.11
09.09.2023,3,61,20,436,15,193,0,6,11,256,129,3,0.11
10.09.2023,3,61,20,436,15,193,0,6,11,256,129,3,0.11
11.09.2023,3,61,20,436,15,193,0,6,11,256,129,3,0.11
12.09.2023,3,61,20,436,15,193,0,6,11,256,129,3,0.11
13.09.2023,3,61,20,436,15,193,0,6,11,256,129,3,0.11
14.09.2023,3,61,20,436,15,193,0,6,11,256,129,3,0.11
15.09.2023,3,61,20,436,15,193,0,6,11,256,129,3,0.11
16.09.2023,3,61,20,436,15,193,0,6,11,256,129,3,0.11
17.09.2023,3,61,20,436,15,193,0,6,11,256,129,3,0.11
18.09.2023,3,61,20,436,15,193,0,6,11,256,129,3,0.11
19.09.2023,3,61,20,436,15,193,0,6,11,256,129,3,0.11
20.09.2023,3,61,20,436,15,193,0,6,11,256,129,3,0.11
