weekday,inner_speed1,inner_speed2,inner_speed3,inner_speed4,inner_speed5,inner_speed6,inner_speed7,inner_speed8,outer_speed,inner_speed,under_10,10_20,20_30,30_40,40_50,50_60,60_70,70_80,80_over,education-inner,education-outer,consumption-inner,consumption-outer,transportation-inner,transportation-outer,cultural-inner,cultural-outer,bicycle-inner,bicycle-outer,removedparking,newmobility,percentageclosedstreet,inner_age,outer_age,inner_actmode,outer_actmode,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,inner_escooter,outer_escooter,inner_emoped,outer_emoped,bikedirection_south,bikedirection_north,biketotal,wspd_,bikedirection_south_,bikedirection_north_,tavg_,inner_speed8_,snow_,pres_,wpgt_,inner_speed1_,outer_actmode_,inner_speed7_,inner_speed4_,prcp_,inner_speed3_,tmax_,inner_actmode_,inner_speed5_,inner_speed6_,tmin_,tsun_,wdir_,inner_speed2_,outer_speed_,biketotal_,inner_escooter_,outer_escooter_,inner_emoped_,outer_emoped_,date
5.0,0.804605331,0.802703165,0.851,0.670479546,0.805539903,0.791452261,0.78277137,0.71561165,0.782756051,0.778020403,9726.0,6961.0,23582.0,27805.0,22479.0,14857.0,12157.0,8961.0,6122.0,3.0,61.0,20.0,436.0,15.0,193.0,0.0,6.0,11.0,256.0,0.0,0.0,0.0,11185.0,72281.0,52.5726708863793,54.2440740212931,10.7,8.8,13.2,0.0,0.0,39.0,7.9,31.7,1014.4,0.0,0.000240705801724138,0.0003249485948275862,0.003425818577586207,0.003933863586206896,2130.0,2108.0,4238.0,7.9,2130.0,2108.0,10.7,0.71561165,0.0,1014.4,31.7,0.804605331,54.37863212,0.78277137,0.670479546,0.0,0.851,13.2,52.5974398,0.805539903,0.791452261,8.8,0.0,39.0,0.802703165,0.782756051,4238.0,0.0002509793663793104,0.00025913793103448274,0.00314184054454023,0.003211290854885057,2023-05-12
6.0,0.9101625,0.942375,0.900333333,0.733506818,0.875475,0.884387236,0.875140442,0.9059375,0.898842791,0.878414729,9726.0,6961.0,23582.0,27805.0,22479.0,14857.0,12157.0,8961.0,6122.0,3.0,61.0,20.0,436.0,15.0,193.0,0.0,6.0,11.0,256.0,0.0,0.0,0.0,11185.0,72281.0,52.5726708863793,54.2440740212931,10.9,8.6,14.0,0.1,0.0,56.0,8.6,25.6,1016.6,35.0,0.000240705801724138,0.0003249485948275862,0.003425818577586207,0.003933863586206896,1864.0,1779.0,3643.0,8.6,1864.0,1779.0,10.9,0.9059375,0.0,1016.6,25.6,0.9101625,54.37863212,0.875140442,0.733506818,0.1,0.900333333,14.0,52.5974398,0.875475,0.884387236,8.6,35.0,56.0,0.942375,0.898842791,3643.0,0.0002509793663793104,0.00025913793103448274,0.00314184054454023,0.003211290854885057,2023-05-13
7.0,0.934345833,0.968079167,0.921166667,0.750322727,0.9592125,0.936969415,0.929804732,0.9496625,0.93241812,0.918695443,9726.0,6961.0,23582.0,27805.0,22479.0,14857.0,12157.0,8961.0,6122.0,3.0,61.0,20.0,436.0,15.0,193.0,0.0,6.0,11.0,256.0,0.0,0.0,0.0,11185.0,72281.0,52.5726708863793,54.2440740212931,11.3,9.2,17.0,0.0,0.0,43.0,8.6,42.5,1013.9,178.0,0.000240705801724138,0.0003249485948275862,0.003425818577586207,0.003933863586206896,1772.0,1739.0,3511.0,8.6,1772.0,1739.0,11.3,0.9496625,0.0,1013.9,42.5,0.934345833,54.37863212,0.929804732,0.750322727,0.0,0.921166667,17.0,52.5974398,0.9592125,0.936969415,9.2,178.0,43.0,0.968079167,0.93241812,3511.0,0.0002509793663793104,0.00025913793103448274,0.00314184054454023,0.003211290854885057,2023-05-14
1.0,0.888225,0.902383333,0.879666667,0.703747727,0.8522625,0.844209765,0.837058582,0.834625,0.873422527,0.842772322,9726.0,6961.0,23582.0,27805.0,22479.0,14857.0,12157.0,8961.0,6122.0,3.0,61.0,20.0,436.0,15.0,193.0,0.0,6.0,11.0,256.0,0.0,0.0,0.0,11185.0,72281.0,52.5726708863793,54.2440740212931,11.8,9.4,17.1,0.6,0.0,266.0,8.6,26.6,1011.8,143.0,0.000240705801724138,0.0003249485948275862,0.003425818577586207,0.003933863586206896,2303.0,2107.0,4410.0,8.6,2303.0,2107.0,11.8,0.834625,0.0,1011.8,26.6,0.888225,54.37863212,0.837058582,0.703747727,0.6,0.879666667,17.1,52.5974398,0.8522625,0.844209765,9.4,143.0,266.0,0.902383333,0.873422527,4410.0,0.0002509793663793104,0.00025913793103448274,0.00314184054454023,0.003211290854885057,2023-05-15
2.0,0.876191667,0.8665625,0.840166667,0.669913636,0.8005625,0.874948972,0.870886792,0.809908333,0.853794239,0.826142633,9726.0,6961.0,23582.0,27805.0,22479.0,14857.0,12157.0,8961.0,6122.0,3.0,61.0,20.0,436.0,15.0,193.0,0.0,6.0,11.0,256.0,0.0,0.0,0.0,11185.0,72281.0,52.5726708863793,54.2440740212931,10.2,8.2,13.2,12.1,0.0,303.0,9.0,38.2,1013.9,0.0,0.000240705801724138,0.0003249485948275862,0.003425818577586207,0.003933863586206896,1742.0,1681.0,3423.0,9.0,1742.0,1681.0,10.2,0.809908333,0.0,1013.9,38.2,0.876191667,54.37863212,0.870886792,0.669913636,12.1,0.840166667,13.2,52.5974398,0.8005625,0.874948972,8.2,0.0,303.0,0.8665625,0.853794239,3423.0,0.0002509793663793104,0.00025913793103448274,0.00314184054454023,0.003211290854885057,2023-05-16
3.0,0.851031061,0.843843182,0.846833333,0.656875,0.809982197,0.797940147,0.79148429,0.838494697,0.83207887,0.804560488,9726.0,6961.0,23582.0,27805.0,22479.0,14857.0,12157.0,8961.0,6122.0,3.0,61.0,20.0,436.0,15.0,193.0,0.0,6.0,11.0,256.0,0.0,0.0,0.0,11185.0,72281.0,52.5726708863793,54.2440740212931,9.8,6.2,14.3,0.0,0.0,0.0,10.4,29.9,1021.6,342.0,0.000240705801724138,0.0003249485948275862,0.003425818577586207,0.003933863586206896,2679.0,2564.0,5243.0,10.4,2679.0,2564.0,9.8,0.838494697,0.0,1021.6,29.9,0.851031061,54.37863212,0.79148429,0.656875,0.0,0.846833333,14.3,52.5974398,0.809982197,0.797940147,6.2,342.0,0.0,0.843843182,0.83207887,5243.0,0.0002509793663793104,0.00025913793103448274,0.00314184054454023,0.003211290854885057,2023-05-17
4.0,0.970291667,0.982820833,0.867833333,0.679809091,0.985116667,0.826692819,0.811101234,0.972441667,0.945969839,0.887013414,9726.0,6961.0,23582.0,27805.0,22479.0,14857.0,12157.0,8961.0,6122.0,3.0,61.0,20.0,436.0,15.0,193.0,0.0,6.0,11.0,256.0,0.0,0.0,0.0,11185.0,72281.0,52.5726708863793,54.2440740212931,10.0,4.5,14.6,0.0,0.0,65.0,12.6,39.6,1022.3,336.0,0.000240705801724138,0.0003249485948275862,0.003425818577586207,0.003933863586206896,2484.0,2195.0,4679.0,12.6,2484.0,2195.0,10.0,0.972441667,0.0,1022.3,39.6,0.970291667,54.37863212,0.811101234,0.679809091,0.0,0.867833333,14.6,52.5974398,0.985116667,0.826692819,4.5,336.0,65.0,0.982820833,0.945969839,4679.0,0.0002509793663793104,0.00025913793103448274,0.00314184054454023,0.003211290854885057,2023-05-18
5.0,0.84876875,0.860625,0.851,0.670479546,0.764104167,0.791452261,0.78277137,0.833575,0.819152636,0.800347012,9726.0,6961.0,23582.0,27805.0,22479.0,14857.0,12157.0,8961.0,6122.0,3.0,61.0,20.0,436.0,15.0,193.0,0.0,6.0,11.0,256.0,0.0,0.0,0.0,11185.0,72281.0,52.5726708863793,54.2440740212931,12.0,8.1,15.4,0.0,0.0,61.0,11.5,28.8,1019.6,178.0,0.000240705801724138,0.0003249485948275862,0.003425818577586207,0.003933863586206896,4215.0,4163.0,8378.0,11.5,4215.0,4163.0,12.0,0.833575,0.0,1019.6,28.8,0.84876875,54.37863212,0.78277137,0.670479546,0.0,0.851,15.4,52.5974398,0.764104167,0.791452261,8.1,178.0,61.0,0.860625,0.819152636,8378.0,0.0002509793663793104,0.00025913793103448274,0.00314184054454023,0.003211290854885057,2023-05-19
6.0,0.892959062,0.908970273,0.877374097,0.838799324,0.904492682,0.884387236,0.875140442,0.820412416,0.872530328,0.875316942,9726.0,6961.0,23582.0,27805.0,22479.0,14857.0,12157.0,8961.0,6122.0,3.0,61.0,20.0,436.0,15.0,193.0,0.0,6.0,11.0,256.0,0.0,0.0,0.0,11185.0,72281.0,52.5726708863793,54.2440740212931,16.4,11.0,23.3,0.0,0.0,64.0,11.2,39.2,1013.9,317.0,0.000240705801724138,0.0003249485948275862,0.003425818577586207,0.003933863586206896,3460.0,3060.0,6520.0,11.2,3460.0,3060.0,16.4,0.820412416,0.0,1013.9,39.2,0.892959062,54.37863212,0.875140442,0.838799324,0.0,0.877374097,23.3,52.5974398,0.904492682,0.884387236,11.0,317.0,64.0,0.908970273,0.872530328,6520.0,0.0002509793663793104,0.00025913793103448274,0.00314184054454023,0.003211290854885057,2023-05-20
7.0,0.9079415,0.909861974,0.925033505,0.886755114,0.92022123,0.936969415,0.929804732,0.85023685,0.890469148,0.90835304,9726.0,6961.0,23582.0,27805.0,22479.0,14857.0,12157.0,8961.0,6122.0,3.0,61.0,20.0,436.0,15.0,193.0,0.0,6.0,11.0,256.0,0.0,0.0,0.0,11185.0,72281.0,52.5726708863793,54.2440740212931,19.4,13.1,27.3,0.0,0.0,91.0,10.4,35.6,1010.8,612.0,0.000240705801724138,0.0003249485948275862,0.003425818577586207,0.003933863586206896,4190.0,3693.0,7883.0,10.4,4190.0,3693.0,19.4,0.85023685,0.0,1010.8,35.6,0.9079415,54.37863212,0.929804732,0.886755114,0.0,0.925033505,27.3,52.5974398,0.92022123,0.936969415,13.1,612.0,91.0,0.909861974,0.890469148,7883.0,0.0002509793663793104,0.00025913793103448274,0.00314184054454023,0.003211290854885057,2023-05-21
1.0,0.631070139,0.642833333,0.91117828,0.737013269,0.624877778,0.844209765,0.837058582,0.647511111,0.637837096,0.734469032,9726.0,6961.0,23582.0,27805.0,22479.0,14857.0,12157.0,8961.0,6122.0,3.0,61.0,20.0,436.0,15.0,193.0,0.0,6.0,11.0,256.0,4.0,0.0,0.0,11185.0,72281.0,52.5726708863793,54.2440740212931,19.2,10.6,26.1,0.0,0.0,242.0,7.2,34.6,1011.5,837.0,0.000240705801724138,0.0003249485948275862,0.003425818577586207,0.003933863586206896,4202.0,3946.0,8148.0,7.2,4202.0,3946.0,19.2,0.647511111,0.0,1011.5,34.6,0.631070139,54.37863212,0.837058582,0.737013269,0.0,0.91117828,26.1,52.5974398,0.624877778,0.844209765,10.6,837.0,242.0,0.642833333,0.637837096,8148.0,0.0002509793663793104,0.00025913793103448274,0.00314184054454023,0.003211290854885057,2023-05-22
2.0,0.906220833,0.902970833,0.933484176,0.765022978,0.81885,0.874948972,0.870886792,0.8212125,0.86232179,0.861699636,9726.0,6961.0,23582.0,27805.0,22479.0,14857.0,12157.0,8961.0,6122.0,3.0,61.0,20.0,436.0,15.0,193.0,0.0,6.0,11.0,256.0,4.0,0.0,0.0,11185.0,72281.0,52.5726708863793,54.2440740212931,17.4,12.5,21.8,0.0,0.0,288.0,12.2,36.7,1014.7,270.0,0.000240705801724138,0.0003249485948275862,0.003425818577586207,0.003933863586206896,3131.0,3125.0,6256.0,12.2,3131.0,3125.0,17.4,0.8212125,0.0,1014.7,36.7,0.906220833,54.37863212,0.870886792,0.765022978,0.0,0.933484176,21.8,52.5974398,0.81885,0.874948972,12.5,270.0,288.0,0.902970833,0.86232179,6256.0,0.0002509793663793104,0.00025913793103448274,0.00314184054454023,0.003211290854885057,2023-05-23
3.0,0.89621125,0.92812,0.879666667,0.703747727,0.86072,0.797940147,0.79148429,0.925,0.865301035,0.84786126,9726.0,6961.0,23582.0,27805.0,22479.0,14857.0,12157.0,8961.0,6122.0,3.0,61.0,20.0,436.0,15.0,193.0,0.0,6.0,11.0,256.0,4.0,0.0,0.0,11185.0,72281.0,52.5726708863793,54.2440740212931,12.9,10.9,15.9,0.2,0.0,359.0,8.6,24.8,1018.7,118.0,0.000240705801724138,0.0003249485948275862,0.003425818577586207,0.003933863586206896,3030.0,3053.0,6083.0,8.6,3030.0,3053.0,12.9,0.925,0.0,1018.7,24.8,0.89621125,54.37863212,0.79148429,0.703747727,0.2,0.879666667,15.9,52.5974398,0.86072,0.797940147,10.9,118.0,359.0,0.92812,0.865301035,6083.0,0.0002509793663793104,0.00025913793103448274,0.00314184054454023,0.003211290854885057,2023-05-24
4.0,0.905856818,0.883845455,0.840166667,0.669913636,0.888781818,0.826692819,0.811101234,0.831609849,0.872052881,0.832246037,9726.0,6961.0,23582.0,27805.0,22479.0,14857.0,12157.0,8961.0,6122.0,3.0,61.0,20.0,436.0,15.0,193.0,0.0,6.0,11.0,256.0,4.0,0.0,0.0,11185.0,72281.0,52.5726708863793,54.2440740212931,15.3,10.6,21.2,0.0,0.0,69.0,9.7,29.2,1020.3,272.0,0.000240705801724138,0.0003249485948275862,0.003425818577586207,0.003933863586206896,3809.0,3655.0,7464.0,9.7,3809.0,3655.0,15.3,0.831609849,0.0,1020.3,29.2,0.905856818,54.37863212,0.811101234,0.669913636,0.0,0.840166667,21.2,52.5974398,0.888781818,0.826692819,10.6,272.0,69.0,0.883845455,0.872052881,7464.0,0.0002509793663793104,0.00025913793103448274,0.00314184054454023,0.003211290854885057,2023-05-25
5.0,0.8647375,0.883091667,0.846833333,0.656875,0.859233333,0.791452261,0.78277137,0.824129167,0.845606324,0.813640454,9726.0,6961.0,23582.0,27805.0,22479.0,14857.0,12157.0,8961.0,6122.0,3.0,61.0,20.0,436.0,15.0,193.0,0.0,6.0,11.0,256.0,4.0,0.0,0.0,11185.0,72281.0,52.5726708863793,54.2440740212931,17.4,10.1,23.5,0.0,0.0,21.0,8.3,30.6,1021.6,712.0,0.000240705801724138,0.0003249485948275862,0.003425818577586207,0.003933863586206896,3825.0,3670.0,7495.0,8.3,3825.0,3670.0,17.4,0.824129167,0.0,1021.6,30.6,0.8647375,54.37863212,0.78277137,0.656875,0.0,0.846833333,23.5,52.5974398,0.859233333,0.791452261,10.1,712.0,21.0,0.883091667,0.845606324,7495.0,0.0002509793663793104,0.00025913793103448274,0.00314184054454023,0.003211290854885057,2023-05-26
6.0,0.92754,0.96913,0.867833333,0.679809091,0.95077,0.884387236,0.875140442,0.922815,0.898462529,0.884678138,9726.0,6961.0,23582.0,27805.0,22479.0,14857.0,12157.0,8961.0,6122.0,3.0,61.0,20.0,436.0,15.0,193.0,0.0,6.0,11.0,256.0,4.0,0.0,0.0,11185.0,72281.0,52.5726708863793,54.2440740212931,17.0,11.2,22.5,0.0,0.0,57.0,12.6,35.3,1020.4,865.0,0.000240705801724138,0.0003249485948275862,0.003425818577586207,0.003933863586206896,3585.0,3290.0,6875.0,12.6,3585.0,3290.0,17.0,0.922815,0.0,1020.4,35.3,0.92754,54.37863212,0.875140442,0.679809091,0.0,0.867833333,22.5,52.5974398,0.95077,0.884387236,11.2,865.0,57.0,0.96913,0.898462529,6875.0,0.0002509793663793104,0.00025913793103448274,0.00314184054454023,0.003211290854885057,2023-05-27
7.0,0.9079415,0.909861974,0.851,0.670479546,0.92022123,0.936969415,0.929804732,0.85023685,0.890469148,0.872064406,9726.0,6961.0,23582.0,27805.0,22479.0,14857.0,12157.0,8961.0,6122.0,3.0,61.0,20.0,436.0,15.0,193.0,0.0,6.0,11.0,256.0,4.0,0.0,0.0,11185.0,72281.0,52.5974398,54.37863212,16.5,9.4,22.9,0.0,0.0,58.0,9.7,31.7,1016.4,879.0,0.000316667,0.0002,0.003015379,0.004236754,3828.0,3556.0,7384.0,9.7,3828.0,3556.0,16.5,0.85023685,0.0,1016.4,31.7,0.9079415,54.37863212,0.929804732,0.670479546,0.0,0.851,22.9,52.5974398,0.92022123,0.936969415,9.4,879.0,58.0,0.909861974,0.890469148,7384.0,0.000316667,0.0002,0.003015379,0.004236754,2023-05-28
1.0,0.964784849,0.970895833,0.900333333,0.733506818,0.968798864,0.844209765,0.837058582,0.985668182,0.927054235,0.900657028,9726.0,6961.0,23582.0,27805.0,22479.0,14857.0,12157.0,8961.0,6122.0,3.0,61.0,20.0,436.0,15.0,193.0,0.0,6.0,11.0,256.0,4.0,0.0,0.0,11185.0,72281.0,52.5974398,54.37863212,17.5,8.9,24.2,0.0,0.0,56.0,9.0,34.2,1016.5,880.0,0.000216667,0.00022,0.004375221,0.002658283,4066.0,3562.0,7628.0,9.0,4066.0,3562.0,17.5,0.985668182,0.0,1016.5,34.2,0.964784849,54.37863212,0.837058582,0.733506818,0.0,0.900333333,24.2,52.5974398,0.968798864,0.844209765,8.9,880.0,56.0,0.970895833,0.927054235,7628.0,0.000216667,0.00022,0.004375221,0.002658283,2023-05-29
