date,education-kol-inner,education-landl-inner,education-kol-outer,education-landl-outer,consumption-kol-inner,consumption-landl-inner,consumption-kol-outer,consumption-landl-outer,transportation-kol-inner,transportation-landl-inner,transportation-kol-outer,transportation-landl-outer,cultural-kol-inner,cultural-landl-inner,cultural-kol-outer,cultural-landl-outer,bicycle-kol-inner,bicycle-landl-inner,bicycle-kol-outer,bicycle-landl-outer,removedparking-kol,removedparking-landl
01.08.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,129,41
02.08.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,129,41
03.08.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,129,41
04.08.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,129,41
05.08.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,129,41
06.08.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,129,41
07.08.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,129,41
08.08.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,129,41
09.08.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,129,41
10.08.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,129,41
11.08.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,129,41
12.08.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,129,41
13.08.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,129,41
14.08.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,129,41
15.08.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,129,41
16.08.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,129,41
17.08.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,129,41
18.08.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,129,41
19.08.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,129,41
20.08.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,129,41
21.08.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,129,41
22.08.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,129,41
23.08.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,129,41
24.08.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,129,41
25.08.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,129,41
26.08.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,129,41
27.08.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,129,41
28.08.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,129,41
29.08.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,129,41
