date,weekday,inner_speed1_au,inner_speed2_au,inner_speed3_au,inner_speed4_au,inner_speed5_au,inner_speed6_au,inner_speed7_au,inner_speed8_au,outer_speed_au,inner_speed1_wp,inner_speed2_wp,inner_speed3_wp,inner_speed4_wp,inner_speed5_wp,inner_speed6_wp,inner_speed7_wp,inner_speed8_wp,outer_speed_wp
03.06.2023,6,0.892959062,0.908970273,0.877374097,0.838799324,0.904492682,0.884387236,0.875140442,0.820412416,0.872530328,0.85296715,0.888391845,0.881575493,0.912379405,0.897899881,0.918777444,0.914732202,0.903543691,0.89321938
04.06.2023,7,0.688889286,0.72285,0.846833333,0.656875,0.733838691,0.936969415,0.929804732,0.708128571,0.725514944,0.639827381,0.899865482,0.936891142,0.947458333,0.7169,0.715985714,0.944689908,0.728842857,0.786283173
05.06.2023,1,0.94328125,0.86536875,0.867833333,0.679809091,0.928439583,0.844209765,0.837058582,0.822158333,0.891551425,0.898035417,0.839158722,0.858035138,0.880557589,0.948389583,0.91721875,0.888373946,0.958860417,0.887826945
06.06.2023,2,0.937425,0.9132625,0.855902443,0.658517398,0.894166667,0.874948972,0.870886792,0.825095833,0.870258584,0.881441667,0.847866049,0.85470359,0.895645688,0.917075,0.939141667,0.892102054,0.9368875,0.877859758
07.06.2023,3,0.9121375,0.882304167,0.896217294,0.723680137,0.873683333,0.5371875,0.5321375,0.767745833,0.798272874,0.836316667,0.5875,0.5983,0.5875,0.901391667,0.924845833,0.5875,0.897379167,0.767484841
08.06.2023,4,0.75,0.701625,0.921166667,0.750322727,0.75,0.75,0.69300625,0.7349125,0.703621939,0.6291875,0.708325,0.74,0.708325,0.69055625,0.7358875,0.708325,0.74,0.711389894
09.06.2023,5,0.667716667,0.67247,0.879666667,0.703747727,0.677684167,0.648286667,0.599056667,0.5874525,0.643626166,0.587889167,0.680096667,0.708478333,0.680096667,0.6690625,0.6954525,0.680096667,0.713415,0.669000168
10.06.2023,6,0.979408333,0.979841667,0.840166667,0.669913636,0.9354375,0.950329167,0.9163125,0.915804167,0.924616752,0.887041667,0.984725,0.960220833,0.984725,0.942295833,0.9527875,0.984725,0.961433333,0.947409486
11.06.2023,7,0.972225,0.979841667,0.977572222,0.960125,0.962047222,0.977572222,0.925475,0.981945833,0.951958577,0.934465278,0.990279167,1,0.990279167,0.954688889,0.990591667,0.990279167,1,0.969115189
12.06.2023,1,0.900070076,0.863439394,0.898333333,0.900838258,0.940459091,0.898333333,0.835795455,0.865453788,0.868570493,0.863085606,0.909060606,0.884176515,0.909060606,0.902159849,0.917673485,0.909060606,0.88547197,0.891320003
13.06.2023,2,0.941920833,0.883525,0.893670833,0.936716667,0.885691667,0.893670833,0.872541667,0.8998875,0.879785969,0.830420833,0.945258333,0.956495833,0.945258333,0.891204167,0.967445833,0.945258333,0.956495833,0.899936613
14.06.2023,3,0.871922727,0.874222349,0.875574242,0.878854546,0.899517424,0.875574242,0.840554167,0.844881439,0.853278742,0.852503409,0.882955682,0.925301894,0.882955682,0.865354546,0.966440909,0.882955682,0.925301894,0.877399815
15.06.2023,4,0.873458333,0.8842875,0.884579167,0.881620833,0.873129167,0.884579167,0.833654167,0.866333333,0.853731037,0.861725,0.8874,0.896433333,0.8874,0.8399375,0.920225,0.8874,0.896433333,0.868153812
16.06.2023,5,0.885029167,0.8666,0.879075,0.882854167,0.895504167,0.8778125,0.847408333,0.843804167,0.857979337,0.8473,0.897704167,0.911625,0.897704167,0.927254167,0.96875,0.897704167,0.911625,0.882142553
17.06.2023,6,0.938016667,0.963041667,0.937620833,0.9341125,0.974425,0.937620833,0.875870833,0.907229167,0.918416071,0.883925,0.912558333,0.954479167,0.912558333,0.946204167,1,0.912558333,0.954479167,0.934302926
18.06.2023,7,0.955141667,0.952833333,0.952854167,0.953558333,1,0.952854167,0.904408333,0.974704167,0.951440476,0.907279167,0.97045,0.992283333,0.97045,0.968716667,0.988283333,0.97045,0.992283333,0.9665
